index,actor_id,name,year,total_emissions,population,gdp,energy_consumption_EJ,renewable_consumption_EJ,emissions_per_pop,gdp_per_pop,energy_per_gdp,emissions_per_energy,population_per_emissions,renewables_per_energy
2620,SK,Slovakia,1996,40915038.67363352,5358289,21659000000,0.7603287269151398,0.0,7.635840223181975,4042.1485291293548,3.510451668660325e-11,53812301.47601677,0.1309613573322366,0.0
2621,SK,Slovakia,1997,39510860.145132735,5365829,21927000000,0.7463569977384517,0.0,7.363421410770402,4086.4142334763183,3.40382632251768e-11,52938285.92061872,0.13580643347904958,0.0
2622,SK,Slovakia,1998,39123194.15236826,5371081,22825000000,0.7542752965984516,0.0,7.284044711365973,4249.610087801692,3.304601518503622e-11,51868587.409400485,0.13728636212784456,0.0
2623,SK,Slovakia,1999,38252154.90386475,5374621,20867000000,0.760656081147957,0.0,7.117181826191047,3882.506319980516,3.645258451852001e-11,50288370.59467909,0.14050505163715582,0.0
2624,SK,Slovakia,2000,36334135.26738429,5376690,20730000000,0.7856899667570322,0.0,6.7577143683910155,3855.531935075297,3.790110789951916e-11,46244876.22943047,0.14797902744713015,0.0
2625,SK,Slovakia,2001,39070531.311426185,5376456,21421000000,0.8084094061714835,0.0029907573587971,7.266967554728652,3984.223064412691,3.7739106772395476e-11,48330129.52738747,0.13760898097711957,0.0036995578428025942
2626,SK,Slovakia,2002,38551214.2228078,5375206,24888000000,0.8151365220343729,0.0018577572915784,7.172044052415442,4630.148128276386,3.2752190695691615e-11,47294181.0122724,0.13943026460681235,0.0022790750277535245
2627,SK,Slovakia,2003,39143372.33084642,5374376,34085000000,0.7895741684867124,0.0012325712367532,7.283333419702385,6342.131626071567,2.3164857517579944e-11,49575295.004734136,0.13729976953888548,0.0015610582082688064
2628,SK,Slovakia,2004,38046057.43560648,5374931,43190000000,0.7689451554782845,0.0003290767568919,7.078427134340233,8035.451989988336,1.780377762163196e-11,49478245.833985135,0.14127432281510774,0.0004279586841108505
2629,SK,Slovakia,2005,38971380.96297679,5376242,49116000000,0.8106637995101893,0.0008468983007273,7.248814499603402,9135.74946961093,1.6505085909076255e-11,48073419.568659246,0.1379535922811533,0.0010446973224152896
2630,SK,Slovakia,2006,37439361.18364552,5377236,57492000000,0.7826177028943273,0.0063168336413042,6.962566118289306,10691.73828338574,1.3612636591079234e-11,47838633.14768482,0.14362520700136613,0.008071416756793104
2631,SK,Slovakia,2007,35224572.47625945,5378382,77239000000,0.7340712547572668,0.0080269117410229,6.549287959884487,14361.010430274384,9.503893819926031e-12,47985222.48076184,0.1526883542341048,0.010934785538874066
2632,SK,Slovakia,2008,36416932.159043394,5381636,97170000000,0.7596093371087681,0.0090335769684362,6.766888760043116,18055.84770133097,7.817323629811342e-12,47941659.455706336,0.14777840089595745,0.011892398535831435
2633,SK,Slovakia,2009,33624636.4452244,5388927,89302000000,0.6918866000219657,0.0097582697957438,6.239579130543872,16571.387959050106,7.74771673671324e-12,48598479.06312523,0.16026721980410802,0.014103857186183401
